Nationality,Overall,Potential
Brazil,83.65384615384616,85.34615384615384
England,83.46153846153847,85.92307692307692
Germany,83.26923076923077,85.38461538461539
France,83.1923076923077,85.34615384615384
Spain,82.88461538461539,84.5
Portugal,82.8076923076923,84.3076923076923
Argentina,82.0,83.61538461538461
Netherlands,81.23076923076923,84.11538461538461
Belgium,80.53846153846153,81.57692307692308
Croatia,78.76923076923077,81.1923076923077
Uruguay,78.34615384615384,80.88461538461539
Mexico,77.3076923076923,79.34615384615384
Switzerland,76.84615384615384,78.84615384615384
Denmark,76.6923076923077,79.5
Serbia,76.61538461538461,78.26923076923077
Morocco,76.38461538461539,77.92307692307692
Poland,76.11538461538461,78.61538461538461
United States,75.11538461538461,80.1923076923077
Senegal,75.07692307692308,77.34615384615384
Ghana,75.0,78.38461538461539
Wales,73.53846153846153,76.61538461538461
Japan,73.3076923076923,76.0
Korea Republic,72.76923076923077,74.96153846153847
Cameroon,72.65384615384616,75.88461538461539
Ecuador,71.5,75.15384615384616
Canada,71.34615384615384,74.11538461538461
Australia,71.03846153846153,72.07692307692308
Iran,70.76923076923077,71.46153846153847
Saudi Arabia,68.84615384615384,70.53846153846153
Tunisia,68.56521739130434,71.21739130434783
Costa Rica,67.94736842105263,71.0
Qatar,67.3076923076923,69.84615384615384
